hexa8,,,,,,,,,
27,8,,,,,,,,
1,0.00 ,0.00 ,0.00 ,,,,,,
2,0.50 ,0.00 ,0.00 ,,,,,,
3,1.00 ,0.00 ,0.00 ,,,,,,
4,0.00 ,0.50 ,0.00 ,,,,,,
5,0.50 ,0.50 ,0.00 ,,,,,,
6,1.00 ,0.50 ,0.00 ,,,,,,
7,0.00 ,1.00 ,0.00 ,,,,,,
8,0.50 ,1.00 ,0.00 ,,,,,,
9,1.00 ,1.00 ,0.00 ,,,,,,
10,0.00 ,0.00 ,0.50 ,,,,,,
11,0.50 ,0.00 ,0.50 ,,,,,,
12,1.00 ,0.00 ,0.50 ,,,,,,
13,0.00 ,0.50 ,0.50 ,,,,,,
14,0.40 ,0.60 ,0.60 ,,,,,,
15,1.00 ,0.50 ,0.50 ,,,,,,
16,0.00 ,1.00 ,0.50 ,,,,,,
17,0.50 ,1.00 ,0.50 ,,,,,,
18,1.00 ,1.00 ,0.50 ,,,,,,
19,0.00 ,0.00 ,1.00 ,,,,,,
20,0.50 ,0.00 ,1.00 ,,,,,,
21,1.00 ,0.00 ,1.00 ,,,,,,
22,0.00 ,0.50 ,1.00 ,,,,,,
23,0.50 ,0.50 ,1.00 ,,,,,,
24,1.00 ,0.50 ,1.00 ,,,,,,
25,0.00 ,1.00 ,1.00 ,,,,,,
26,0.50 ,1.00 ,1.00 ,,,,,,
27,1.00 ,1.00 ,1.00 ,,,,,,
1,1,1,2,5,4,10,11,14,13
2,1,2,3,6,5,11,12,15,14
3,1,4,5,8,7,13,14,17,16
4,1,5,6,9,8,14,15,18,17
5,1,10,11,14,13,19,20,23,22
6,1,11,12,15,14,20,21,24,23
7,1,13,14,17,16,22,23,26,25
8,1,14,15,18,17,23,24,27,26
